session_id,mean_queue,median_queue,min_queue,peak_queue,peak_time,p95_queue,std_queue,queue_burden_person_min,mean_throughput_per_min,peak_throughput_per_min,total_entered,total_served,total_abandoned,abandonment_rate_pct,mean_wait_seconds,median_wait_seconds,p95_wait_seconds,date,weekday,meal_period,menu_id,staple,animal_protein,plant_protein,vegetable,fruit,drink,data_source,peak_uplift_vs_meal_pct
B_20260901,4.43,3.0,0,12,2026-09-01 06:05:00,10.0,3.42,531.5,2.78,5,80,80,0,0.0,154.53,157.4,217.0,2026-09-01,Tuesday,breakfast,M001,Bubur ayam,Ayam suwir,,,Pisang,Teh,SYNTHETIC_DEMO,-2.89
B_20260902,5.18,4.0,0,14,2026-09-02 06:06:30,12.0,4.12,621.5,2.91,5,89,86,3,3.37,173.3,180.45,229.2,2026-09-02,Wednesday,breakfast,M002,Nasi goreng,Telur,Tempe,Acar,Jeruk,Teh,SYNTHETIC_DEMO,13.29
B_20260903,3.51,3.0,0,10,2026-09-03 06:04:30,8.0,2.61,421.0,2.61,4,82,82,0,0.0,131.38,132.25,187.71,2026-09-03,Thursday,breakfast,M003,Roti,Telur,,,Semangka,Susu,SYNTHETIC_DEMO,-19.08
B_20260904,4.54,3.5,0,12,2026-09-04 06:00:00,11.0,3.54,545.0,2.85,5,143,142,1,0.7,148.56,156.8,206.44,2026-09-04,Friday,breakfast,M001,Bubur ayam,Ayam suwir,,,Pisang,Teh,SYNTHETIC_DEMO,-2.89
B_20260905,5.62,4.0,0,15,2026-09-05 06:00:30,14.0,4.55,675.0,3.04,5,92,91,1,1.09,173.1,192.1,247.85,2026-09-05,Saturday,breakfast,M002,Nasi goreng,Telur,Tempe,Acar,Jeruk,Teh,SYNTHETIC_DEMO,21.39
B_20260906,3.81,3.0,0,9,2026-09-06 05:56:00,9.0,2.85,457.0,2.68,4,83,82,1,1.2,136.7,138.55,194.84,2026-09-06,Sunday,breakfast,M003,Roti,Telur,,,Semangka,Susu,SYNTHETIC_DEMO,-27.17
B_20260907,4.26,3.0,0,12,2026-09-07 06:10:30,10.0,3.39,511.0,2.84,5,85,83,2,2.35,146.75,155.1,201.55,2026-09-07,Monday,breakfast,M001,Bubur ayam,Ayam suwir,,,Pisang,Teh,SYNTHETIC_DEMO,-2.89
B_20260908,5.63,4.0,0,15,2026-09-08 06:00:30,14.0,4.61,675.5,3.0,5,105,103,2,1.9,179.48,190.5,246.34,2026-09-08,Tuesday,breakfast,M002,Nasi goreng,Telur,Tempe,Acar,Jeruk,Teh,SYNTHETIC_DEMO,21.39
B_20260909,3.81,3.0,0,10,2026-09-09 06:05:30,9.0,2.95,457.0,2.71,5,89,87,2,2.25,138.34,139.1,194.75,2026-09-09,Wednesday,breakfast,M003,Roti,Telur,,,Semangka,Susu,SYNTHETIC_DEMO,-19.08
B_20260910,4.58,3.0,0,12,2026-09-10 05:57:30,11.0,3.65,549.5,2.84,5,111,110,1,0.9,147.95,153.55,225.78,2026-09-10,Thursday,breakfast,M001,Bubur ayam,Ayam suwir,,,Pisang,Teh,SYNTHETIC_DEMO,-2.89
B_20260911,5.61,4.0,0,15,2026-09-11 06:04:00,14.0,4.6,673.5,3.04,5,140,138,2,1.43,180.91,186.15,259.71,2026-09-11,Friday,breakfast,M002,Nasi goreng,Telur,Tempe,Acar,Jeruk,Teh,SYNTHETIC_DEMO,21.39
B_20260912,3.59,3.0,0,10,2026-09-12 05:59:00,8.0,2.75,430.5,2.63,4,81,81,0,0.0,134.34,137.2,174.1,2026-09-12,Saturday,breakfast,M003,Roti,Telur,,,Semangka,Susu,SYNTHETIC_DEMO,-19.08
B_20260913,4.59,3.0,0,12,2026-09-13 06:00:30,11.0,3.54,550.5,2.88,5,97,96,1,1.03,153.67,159.65,214.72,2026-09-13,Sunday,breakfast,M001,Bubur ayam,Ayam suwir,,,Pisang,Teh,SYNTHETIC_DEMO,-2.89
B_20260914,5.67,4.0,0,15,2026-09-14 06:06:30,14.0,4.63,680.5,2.99,5,108,108,0,0.0,184.35,199.95,261.31,2026-09-14,Monday,breakfast,M002,Nasi goreng,Telur,Tempe,Acar,Jeruk,Teh,SYNTHETIC_DEMO,21.39
D_20260901,6.14,5.0,0,16,2026-09-01 17:35:30,15.0,4.99,737.0,3.13,6,107,104,3,2.8,184.84,192.5,269.7,2026-09-01,Tuesday,dinner,M007,Nasi putih,Ayam kecap,Tahu,Tumis sawi,Jeruk,Air putih,SYNTHETIC_DEMO,-2.18
D_20260902,7.35,5.0,0,20,2026-09-02 17:40:30,18.0,6.25,882.5,3.32,6,139,138,1,0.72,225.65,245.05,300.52,2026-09-02,Wednesday,dinner,M008,Mie goreng,Ayam suwir,Tempe,Sawi,Semangka,Air putih,SYNTHETIC_DEMO,22.27
D_20260903,4.94,4.0,0,13,2026-09-03 17:38:30,12.0,3.99,593.0,2.94,5,100,98,2,2.0,157.63,171.25,235.5,2026-09-03,Thursday,dinner,M009,Nasi putih,Ikan,Tahu,Sup sayur,Pisang,Air putih,SYNTHETIC_DEMO,-20.52
D_20260904,6.31,5.0,0,17,2026-09-04 17:36:00,15.0,5.26,757.0,3.12,6,113,110,3,2.65,193.58,211.95,276.28,2026-09-04,Friday,dinner,M007,Nasi putih,Ayam kecap,Tahu,Tumis sawi,Jeruk,Air putih,SYNTHETIC_DEMO,3.93
D_20260905,6.78,5.0,0,17,2026-09-05 17:37:00,16.0,5.55,813.0,3.24,6,145,142,3,2.07,205.64,220.9,290.42,2026-09-05,Saturday,dinner,M008,Mie goreng,Ayam suwir,Tempe,Sawi,Semangka,Air putih,SYNTHETIC_DEMO,3.93
D_20260906,5.38,4.0,0,15,2026-09-06 17:41:30,13.0,4.24,646.0,2.95,6,86,83,3,3.49,174.01,178.3,258.2,2026-09-06,Sunday,dinner,M009,Nasi putih,Ikan,Tahu,Sup sayur,Pisang,Air putih,SYNTHETIC_DEMO,-8.3
D_20260907,6.55,5.0,0,17,2026-09-07 17:38:00,16.0,5.51,786.5,3.19,6,86,82,4,4.65,208.77,217.1,289.81,2026-09-07,Monday,dinner,M007,Nasi putih,Ayam kecap,Tahu,Tumis sawi,Jeruk,Air putih,SYNTHETIC_DEMO,3.93
D_20260908,7.05,5.0,0,19,2026-09-08 17:37:00,17.0,5.95,846.0,3.31,6,144,141,3,2.08,213.71,239.0,306.7,2026-09-08,Tuesday,dinner,M008,Mie goreng,Ayam suwir,Tempe,Sawi,Semangka,Air putih,SYNTHETIC_DEMO,16.16
D_20260909,5.05,4.0,0,13,2026-09-09 17:32:00,12.0,4.03,606.0,2.84,5,94,91,3,3.19,163.49,174.7,233.95,2026-09-09,Wednesday,dinner,M009,Nasi putih,Ikan,Tahu,Sup sayur,Pisang,Air putih,SYNTHETIC_DEMO,-20.52
D_20260910,6.36,5.0,0,17,2026-09-10 17:35:00,15.0,5.33,763.5,3.16,6,139,136,3,2.16,198.29,210.05,279.9,2026-09-10,Thursday,dinner,M007,Nasi putih,Ayam kecap,Tahu,Tumis sawi,Jeruk,Air putih,SYNTHETIC_DEMO,3.93
D_20260911,6.63,5.0,0,17,2026-09-11 17:35:30,16.0,5.44,795.5,3.16,6,135,130,5,3.7,202.6,226.1,284.77,2026-09-11,Friday,dinner,M008,Mie goreng,Ayam suwir,Tempe,Sawi,Semangka,Air putih,SYNTHETIC_DEMO,3.93
D_20260912,5.35,4.0,0,14,2026-09-12 17:37:00,13.0,4.27,641.5,2.86,5,100,98,2,2.0,171.55,180.35,249.54,2026-09-12,Saturday,dinner,M009,Nasi putih,Ikan,Tahu,Sup sayur,Pisang,Air putih,SYNTHETIC_DEMO,-14.41
D_20260913,5.99,4.5,0,16,2026-09-13 17:40:00,14.0,4.86,719.0,3.01,5,132,131,1,0.76,185.57,204.0,263.7,2026-09-13,Sunday,dinner,M007,Nasi putih,Ayam kecap,Tahu,Tumis sawi,Jeruk,Air putih,SYNTHETIC_DEMO,-2.18
D_20260914,6.84,5.0,0,18,2026-09-14 17:42:30,16.0,5.64,820.5,3.23,7,118,115,3,2.54,198.56,211.9,287.7,2026-09-14,Monday,dinner,M008,Mie goreng,Ayam suwir,Tempe,Sawi,Semangka,Air putih,SYNTHETIC_DEMO,10.04
L_20260901,9.57,7.0,0,26,2026-09-01 11:57:00,24.05,8.78,1148.0,3.74,7,154,152,2,1.3,283.15,311.95,387.26,2026-09-01,Tuesday,lunch,M004,Nasi putih,Ayam goreng,Tempe,Sayur sop,Semangka,Air putih,SYNTHETIC_DEMO,22.15
L_20260902,6.13,4.0,0,17,2026-09-02 11:58:30,15.0,5.27,735.5,3.0,5,137,135,2,1.46,189.66,195.3,276.69,2026-09-02,Wednesday,lunch,M005,Nasi putih,Ikan goreng,Tahu,Capcay,Pisang,Air putih,SYNTHETIC_DEMO,-20.13
L_20260903,8.03,6.0,0,23,2026-09-03 11:56:30,20.0,7.28,963.5,3.43,7,115,112,3,2.61,235.08,254.35,337.96,2026-09-03,Thursday,lunch,M006,Nasi putih,Daging sapi,Tempe,Sayur asem,Melon,Air putih,SYNTHETIC_DEMO,8.05
L_20260904,8.22,6.0,0,22,2026-09-04 12:00:00,21.0,7.48,986.0,3.45,7,172,170,2,1.16,251.03,273.6,350.8,2026-09-04,Friday,lunch,M004,Nasi putih,Ayam goreng,Tempe,Sayur sop,Semangka,Air putih,SYNTHETIC_DEMO,3.36
L_20260905,6.85,5.0,0,19,2026-09-05 11:59:00,17.0,6.09,822.0,3.28,6,152,149,3,1.97,210.9,222.3,299.26,2026-09-05,Saturday,lunch,M005,Nasi putih,Ikan goreng,Tahu,Capcay,Pisang,Air putih,SYNTHETIC_DEMO,-10.74
