session_id,timestamp,track_id,event,wait_seconds,queue_count,data_source
B_20260901,2026-09-01T06:20:45,1,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:23:04,1,SERVED,138.5,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:17:45,2,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:20:28,2,SERVED,163.3,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:23:32,3,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:25:29,3,SERVED,116.9,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:13,4,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:48,4,SERVED,154.7,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:29:10,5,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:31:18,5,SERVED,128.2,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:27:19,6,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:29:31,6,SERVED,131.7,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:30:00,7,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:31:10,7,SERVED,70.7,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:54:42,8,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:57:36,8,SERVED,174.3,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:19,9,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:32,9,SERVED,193.6,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:32:19,10,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:33:20,10,SERVED,61.4,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:12,11,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:05,11,SERVED,232.1,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:19:47,12,ENTER,,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:22:51,12,SERVED,184.0,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:37,13,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:29,13,SERVED,171.4,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:49:58,14,ENTER,,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:52:28,14,SERVED,150.2,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:36:00,15,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:37:54,15,SERVED,113.6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:09,16,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:46,16,SERVED,216.9,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:21:15,17,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:24:13,17,SERVED,178.2,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:33:26,18,ENTER,,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:34:28,18,SERVED,61.9,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:19,19,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:47,19,SERVED,208.0,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:41,20,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:50,20,SERVED,188.4,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:31:12,21,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:32:37,21,SERVED,84.9,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:43:43,22,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:45:46,22,SERVED,123.3,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:53:50,23,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:19,23,SERVED,149.5,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:48:48,24,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:51:31,24,SERVED,163.4,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:30:00,25,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:31:40,25,SERVED,100.3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:19,26,ENTER,,12,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:35,26,SERVED,196.5,12,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:04,27,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:09,27,SERVED,184.9,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:47:16,28,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:49:42,28,SERVED,145.5,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:09,29,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:07:35,29,SERVED,206.1,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:21,30,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:43:58,30,SERVED,97.8,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:43:49,31,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:45:43,31,SERVED,114.5,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:49,32,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:07,32,SERVED,138.0,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:52:40,33,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:45,33,SERVED,184.6,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:47:40,34,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:50:42,34,SERVED,182.2,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:51:52,35,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:54:31,35,SERVED,158.9,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:01:52,36,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:02,36,SERVED,190.3,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:00:12,37,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:03:22,37,SERVED,190.0,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:36:24,38,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:38:05,38,SERVED,100.6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:13:19,39,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:16:01,39,SERVED,162.8,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:17,40,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:50,40,SERVED,153.3,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:52:25,41,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:41,41,SERVED,195.9,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:07:30,42,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:21,42,SERVED,170.5,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:36:59,43,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:38:55,43,SERVED,115.4,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:32,44,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:13:37,44,SERVED,185.4,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:00:32,45,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:00,45,SERVED,208.4,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:17:59,46,ENTER,,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:20:43,46,SERVED,163.8,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:08,47,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:28,47,SERVED,139.8,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:19:06,48,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:21:38,48,SERVED,152.8,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:35,49,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:14,49,SERVED,219.1,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:07:14,50,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:50,50,SERVED,155.9,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:36,51,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:31,51,SERVED,174.5,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:37,52,ENTER,,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:43,52,SERVED,126.0,8,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:54,53,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:42,53,SERVED,168.3,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:01:46,54,ENTER,,12,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:24,54,SERVED,218.9,12,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:10,55,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:56,55,SERVED,166.2,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:03:54,56,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:42,56,SERVED,167.5,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:34:09,57,ENTER,,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:36:00,57,SERVED,110.7,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:48:17,58,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:50:37,58,SERVED,139.4,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:12,59,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:46:32,59,SERVED,140.3,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:21,60,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:40,60,SERVED,138.7,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:46:49,61,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:48:55,61,SERVED,126.3,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:26,62,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:11:24,62,SERVED,178.3,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:15:57,63,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:18:59,63,SERVED,181.8,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:26:23,64,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:28:59,64,SERVED,155.8,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:52,65,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:46:52,65,SERVED,120.3,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:15:56,66,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:18:49,66,SERVED,172.5,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:37:35,67,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:39:01,67,SERVED,86.6,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:51,68,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:29,68,SERVED,218.8,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:26,69,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:58,69,SERVED,212.6,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:27:47,70,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:29:56,70,SERVED,128.8,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:54,71,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:01:44,71,SERVED,169.2,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:14,72,ENTER,,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:32,72,SERVED,198.1,11,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:40:27,73,ENTER,,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:29,73,SERVED,121.9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:25:24,74,ENTER,,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:27:17,74,SERVED,113.4,6,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:41:40,75,ENTER,,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:43:24,75,SERVED,104.2,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:20:09,76,ENTER,,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:22:50,76,SERVED,161.2,7,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:31,77,ENTER,,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:28,77,SERVED,116.9,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:14:51,78,ENTER,,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:18:15,78,SERVED,203.7,10,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:36:09,79,ENTER,,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:38:22,79,SERVED,132.3,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:42,80,ENTER,,9,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:59,80,SERVED,137.0,9,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:53:10,1,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:59:32,1,SERVED,382.1,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:12:35,2,ENTER,,19,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:17:46,2,SERVED,310.8,19,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:30:00,3,ENTER,,9,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:33:07,3,SERVED,187.1,9,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:30:00,4,ENTER,,6,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:31:59,4,SERVED,119.5,6,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:09:28,5,ENTER,,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:14:59,5,SERVED,330.2,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:57:51,6,ENTER,,23,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:03:50,6,SERVED,359.5,23,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:43:11,7,ENTER,,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:47:40,7,SERVED,268.5,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:10:50,8,ENTER,,23,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:16:46,8,SERVED,356.6,23,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:05:12,9,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:11:47,9,SERVED,395.6,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:04:57,10,ENTER,,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:11:10,10,SERVED,372.0,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:42:18,11,ENTER,,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:46:30,11,SERVED,251.8,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:19:46,12,ENTER,,15,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:24:17,12,SERVED,271.5,15,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:10:51,13,ENTER,,21,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:16:16,13,SERVED,324.8,21,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:01:41,14,ENTER,,25,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:07:50,14,SERVED,368.5,25,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:36:32,15,ENTER,,11,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:39:38,15,SERVED,185.5,11,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:30:00,16,ENTER,,7,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:32:16,16,SERVED,136.9,7,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:22:09,17,ENTER,,12,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:25:25,17,SERVED,196.7,12,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:30:00,18,ENTER,,7,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:32:49,18,SERVED,169.2,7,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:09:47,19,ENTER,,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:15:41,19,SERVED,354.6,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:51:14,20,ENTER,,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:57:23,20,SERVED,369.3,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:52:34,21,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:58:29,21,SERVED,354.4,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:12:53,22,ENTER,,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:18:43,22,SERVED,350.1,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:42:19,23,ENTER,,16,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:46:10,23,SERVED,231.1,16,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:45:20,24,ENTER,,18,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:50:47,24,SERVED,327.2,18,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:45:30,25,ENTER,,2,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:47:15,25,SERVED,104.8,2,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:02:47,26,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:08:43,26,SERVED,355.5,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:56:21,27,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:02:47,27,SERVED,385.6,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:08:07,28,ENTER,,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:13:34,28,SERVED,326.8,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:30:00,29,ENTER,,6,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:32:15,29,SERVED,135.2,6,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:55:59,30,ENTER,,25,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:01:50,30,SERVED,351.4,25,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:06:01,31,ENTER,,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:11:17,31,SERVED,316.4,22,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:57:00,32,ENTER,,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:03:12,32,SERVED,371.9,24,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:13:07,33,ENTER,,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:18:34,33,SERVED,326.3,20,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:34:24,34,ENTER,,10,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:37:01,34,SERVED,156.2,10,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:22:15,35,ENTER,,12,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:25:48,35,SERVED,212.9,12,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:41:14,36,ENTER,,14,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:45:11,36,SERVED,236.6,14,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:15:11,37,ENTER,,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T12:19:14,37,SERVED,243.6,17,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:41:45,38,ENTER,,16,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:46:20,38,SERVED,274.4,16,SYNTHETIC_DEMO
L_20260901,2026-09-01T11:58:19,39,ENTER,,24,SYNTHETIC_DEMO
