session_id,timestamp,queue_count,throughput_per_min,data_source
B_20260901,2026-09-01T05:30:00,3,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:30:30,3,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:31:00,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:31:30,4,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:32:00,2,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:32:30,1,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:33:00,4,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:33:30,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:34:00,4,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:34:30,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:35:00,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:35:30,3,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:36:00,4,1,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:36:30,5,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:37:00,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:37:30,4,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:38:00,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:38:30,3,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:39:00,6,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:39:30,4,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:40:00,4,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:40:30,4,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:41:00,6,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:41:30,7,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:00,5,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:42:30,6,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:43:00,7,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:43:30,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:00,5,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:44:30,5,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:45:00,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:45:30,5,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:46:00,7,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:46:30,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:47:00,5,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:47:30,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:48:00,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:48:30,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:49:00,6,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:49:30,7,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:50:00,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:50:30,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:51:00,8,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:51:30,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:52:00,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:52:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:53:00,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:53:30,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:54:00,8,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:54:30,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:00,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:55:30,10,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:56:30,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:57:00,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:57:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:58:30,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:00,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T05:59:30,11,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:00:00,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:00:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:01:00,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:01:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:02:30,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:03:00,11,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:03:30,10,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:04:30,11,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:00,12,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:05:30,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:06:30,11,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:07:00,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:07:30,11,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:08:30,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:00,10,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:09:30,11,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:00,10,5,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:10:30,11,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:11:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:11:30,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:12:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:12:30,12,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:13:00,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:13:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:14:00,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:14:30,9,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:15:00,8,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:15:30,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:16:00,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:16:30,9,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:17:00,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:17:30,10,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:18:00,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:18:30,8,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:19:00,8,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:19:30,8,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:20:00,7,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:20:30,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:21:00,7,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:21:30,7,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:22:00,7,4,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:22:30,6,2,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:23:00,6,3,SYNTHETIC_DEMO
B_20260901,2026-09-01T06:23:30,7,4,SYNTHETIC_DEMO
