session_id,date,weekday,meal_period,start_timestamp,end_timestamp,model,confidence_threshold,data_source
B_20260901,2026-09-01,Tuesday,breakfast,2026-09-01T05:30:00,2026-09-01T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260901,2026-09-01,Tuesday,lunch,2026-09-01T11:30:00,2026-09-01T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260901,2026-09-01,Tuesday,dinner,2026-09-01T17:00:00,2026-09-01T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260902,2026-09-02,Wednesday,breakfast,2026-09-02T05:30:00,2026-09-02T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260902,2026-09-02,Wednesday,lunch,2026-09-02T11:30:00,2026-09-02T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260902,2026-09-02,Wednesday,dinner,2026-09-02T17:00:00,2026-09-02T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260903,2026-09-03,Thursday,breakfast,2026-09-03T05:30:00,2026-09-03T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260903,2026-09-03,Thursday,lunch,2026-09-03T11:30:00,2026-09-03T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260903,2026-09-03,Thursday,dinner,2026-09-03T17:00:00,2026-09-03T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260904,2026-09-04,Friday,breakfast,2026-09-04T05:30:00,2026-09-04T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260904,2026-09-04,Friday,lunch,2026-09-04T11:30:00,2026-09-04T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260904,2026-09-04,Friday,dinner,2026-09-04T17:00:00,2026-09-04T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260905,2026-09-05,Saturday,breakfast,2026-09-05T05:30:00,2026-09-05T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260905,2026-09-05,Saturday,lunch,2026-09-05T11:30:00,2026-09-05T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260905,2026-09-05,Saturday,dinner,2026-09-05T17:00:00,2026-09-05T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260906,2026-09-06,Sunday,breakfast,2026-09-06T05:30:00,2026-09-06T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260906,2026-09-06,Sunday,lunch,2026-09-06T11:30:00,2026-09-06T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260906,2026-09-06,Sunday,dinner,2026-09-06T17:00:00,2026-09-06T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260907,2026-09-07,Monday,breakfast,2026-09-07T05:30:00,2026-09-07T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260907,2026-09-07,Monday,lunch,2026-09-07T11:30:00,2026-09-07T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260907,2026-09-07,Monday,dinner,2026-09-07T17:00:00,2026-09-07T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260908,2026-09-08,Tuesday,breakfast,2026-09-08T05:30:00,2026-09-08T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260908,2026-09-08,Tuesday,lunch,2026-09-08T11:30:00,2026-09-08T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260908,2026-09-08,Tuesday,dinner,2026-09-08T17:00:00,2026-09-08T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260909,2026-09-09,Wednesday,breakfast,2026-09-09T05:30:00,2026-09-09T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260909,2026-09-09,Wednesday,lunch,2026-09-09T11:30:00,2026-09-09T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260909,2026-09-09,Wednesday,dinner,2026-09-09T17:00:00,2026-09-09T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260910,2026-09-10,Thursday,breakfast,2026-09-10T05:30:00,2026-09-10T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260910,2026-09-10,Thursday,lunch,2026-09-10T11:30:00,2026-09-10T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260910,2026-09-10,Thursday,dinner,2026-09-10T17:00:00,2026-09-10T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260911,2026-09-11,Friday,breakfast,2026-09-11T05:30:00,2026-09-11T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260911,2026-09-11,Friday,lunch,2026-09-11T11:30:00,2026-09-11T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260911,2026-09-11,Friday,dinner,2026-09-11T17:00:00,2026-09-11T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260912,2026-09-12,Saturday,breakfast,2026-09-12T05:30:00,2026-09-12T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260912,2026-09-12,Saturday,lunch,2026-09-12T11:30:00,2026-09-12T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260912,2026-09-12,Saturday,dinner,2026-09-12T17:00:00,2026-09-12T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260913,2026-09-13,Sunday,breakfast,2026-09-13T05:30:00,2026-09-13T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260913,2026-09-13,Sunday,lunch,2026-09-13T11:30:00,2026-09-13T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260913,2026-09-13,Sunday,dinner,2026-09-13T17:00:00,2026-09-13T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
B_20260914,2026-09-14,Monday,breakfast,2026-09-14T05:30:00,2026-09-14T07:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
L_20260914,2026-09-14,Monday,lunch,2026-09-14T11:30:00,2026-09-14T13:30:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
D_20260914,2026-09-14,Monday,dinner,2026-09-14T17:00:00,2026-09-14T19:00:00,yolo11n.pt,0.45,SYNTHETIC_DEMO
